Date,Day of the Week,Win/(Loss),Opening Range High,Opening Range Low,Daily High,Daily Low,Initial Range Size ($),Range Size (ticks),Range Size (points),First Candle Close Outside of Range Time,First Candle Close Price,First Candle Close Condition,First Candle Close Fully Outside of Open Range Time,First Fully Close Price,First Fully Close Condition,Max Distribution (%),Max Distribution/Drawdown (points),Max Distribution (Fully Outside) (%),Max Distribution/Drawdown (Fully Outside) (points),First Candle Cross Opposite Side Condition,First Candle Cross Opposite Side Time,First Candle Cross Opposite Side Price
2024-03-11,Monday,Win,5139.25,5134.0,5183.0,5112.75,5.25,21.0,1.3125,00:45:00,5140.75,Above Opening High,01:00:00,5142.75,Above Opening High,0.8151649623770016,10.5625,0.7765772718502798,10.0625,Crossed Below Opening Low,20:45:00,5134.25
2024-03-12,Tuesday,Win,5181.0,5175.25,5183.75,5153.0,5.75,23.0,1.4375,21:00:00,5175.0,Below Opening Low,22:30:00,5174.0,Below Opening Low,0.42693576557345236,5.5,0.4075295944110227,5.25,Crossed Above Opening High,01:45:00,5179.75
2024-03-13,Wednesday,Win,5174.5,5170.0,5189.5,5124.25,4.5,18.0,1.125,21:45:00,5174.75,Above Opening High,02:15:00,5176.0,Above Opening High,0.2842277676076693,3.6875,0.26014066865786684,3.375,Crossed Below Opening Low,09:30:00,5173.25
2024-03-14,Thursday,Win,5155.5,5147.5,5167.0,5114.0,8.0,32.0,2.0,05:00:00,5157.0,Above Opening High,05:15:00,5157.25,Above Opening High,0.19353590090961872,2.5,0.18869750338687827,2.4375,Crossed Below Opening Low,01:30:00,5147.5
2024-03-17,Sunday,Loss,5187.25,5181.75,5240.25,5183.25,5.5,22.0,1.375,21:00:00,5188.25,Above Opening High,21:45:00,5190.25,Above Opening High,0.9923190687467202,13.0,0.9541529507180001,12.5,Not Crossed,N/A,N/A
2024-03-18,Monday,Win,5210.75,5206.75,5244.75,5186.0,4.0,16.0,1.0,20:45:00,5205.25,Below Opening Low,21:00:00,5206.0,Below Opening Low,0.37119166988044733,4.8125,0.38565368299267255,5.0,Crossed Above Opening High,23:30:00,5210.0
2024-03-19,Tuesday,Win,5240.75,5236.25,5295.75,5233.0,4.5,18.0,1.125,21:00:00,5236.0,Below Opening Low,21:45:00,5234.5,Below Opening Low,0.05732849226065354,0.75,0.02866424613032677,0.375,Crossed Above Opening High,03:00:00,5240.25
2024-03-20,Wednesday,Win,5304.0,5299.5,5322.75,5299.0,4.5,18.0,1.125,22:30:00,5304.75,Above Opening High,23:00:00,5306.0,Above Opening High,0.33817105819360294,4.5,0.3146869569301583,4.1875,Crossed Below Opening Low,20:30:00,5300.0
2024-03-21,Thursday,Win,5311.0,5308.25,5311.75,5289.0,2.75,11.0,0.6875,21:30:00,5307.5,Below Opening Low,22:00:00,5304.25,Below Opening Low,0.34978256759311777,4.625,0.2883342786916241,3.8125,Crossed Above Opening High,05:00:00,5310.5
2024-03-24,Sunday,Win,5294.75,5291.0,5295.0,5272.5,3.75,15.0,0.9375,21:00:00,5290.75,Below Opening Low,22:30:00,5289.0,Below Opening Low,0.34613560929350407,4.5625,0.3129445234708393,4.125,Crossed Above Opening High,21:30:00,5293.75
2024-03-25,Monday,Win,5286.25,5282.0,5300.5,5263.0,4.25,17.0,1.0625,21:00:00,5286.75,Above Opening High,02:45:00,5290.0,Above Opening High,0.25940948967078575,3.4375,0.1980945193849637,2.625,Crossed Below Opening Low,23:30:00,5282.25
2024-03-26,Tuesday,Win,5276.25,5273.75,5313.75,5270.75,2.5,10.0,0.625,21:00:00,5276.5,Above Opening High,22:30:00,5277.0,Above Opening High,0.7010115266996001,9.3125,0.6916019760056458,9.1875,Crossed Below Opening Low,10:00:00,5277.0
2024-03-27,Wednesday,Win,5307.75,5302.5,5321.0,5301.0,5.25,21.0,1.3125,05:15:00,5301.5,Below Opening Low,09:15:00,5309.5,Above Opening High,0.009432182607055271,0.125,0.21612478857357642,2.875,Crossed Above Opening High,20:30:00,5306.75
2024-03-31,Sunday,Loss,5333.5,5327.25,5330.5,5282.25,6.25,25.0,1.5625,21:30:00,5327.0,Below Opening Low,22:30:00,5326.0,Below Opening Low,0.8471768659188793,11.1875,0.828245539306167,10.9375,Not Crossed,N/A,N/A
2024-04-01,Monday,Win,5291.0,5286.5,5296.0,5235.0,4.5,18.0,1.125,21:15:00,5291.25,Above Opening High,04:15:00,5294.0,Above Opening High,0.08969033232628398,1.1875,0.0377643504531722,0.5,Crossed Below Opening Low,01:15:00,5287.0
2024-04-02,Tuesday,Win,5260.25,5252.75,5280.75,5244.5,7.5,30.0,1.875,21:45:00,5251.5,Below Opening Low,01:45:00,5248.75,Below Opening Low,0.13347316236056822,1.75,0.08103727714748785,1.0625,Crossed Above Opening High,08:00:00,5258.5
2024-04-03,Wednesday,Win,5284.75,5273.75,5308.5,5194.25,11.0,44.0,2.75,06:45:00,5285.5,Above Opening High,08:45:00,5300.0,Above Opening High,0.4332674013374776,5.75,0.16012056136385042,2.125,Crossed Below Opening Low,14:00:00,5266.75
2024-04-04,Thursday,Win,5205.25,5191.5,5272.5,5191.5,13.75,55.0,3.4375,01:00:00,5205.75,Above Opening High,02:00:00,5207.0,Above Opening High,1.2660028449502134,16.6875,1.2422949265054528,16.375,Crossed Below Opening Low,20:30:00,5195.75
2024-04-07,Sunday,Win,5260.0,5249.25,5268.75,5236.5,10.75,43.0,2.6875,23:15:00,5248.0,Below Opening Low,23:30:00,5246.0,Below Opening Low,0.21961233648429296,2.875,0.18141888666093764,2.375,Crossed Above Opening High,08:30:00,5259.75
2024-04-08,Monday,Win,5257.5,5253.25,5274.25,5208.25,4.25,17.0,1.0625,21:45:00,5252.25,Below Opening Low,22:00:00,5251.75,Below Opening Low,0.8448135170162723,11.0,0.8352133634138146,10.875,Crossed Above Opening High,00:45:00,5257.0
2024-04-09,Tuesday,Win,5265.25,5261.25,5285.0,5176.5,4.0,16.0,1.0,00:15:00,5265.5,Above Opening High,07:30:00,5267.75,Above Opening High,0.36896877956480606,4.875,0.32639545884579,4.3125,Crossed Below Opening Low,05:45:00,5260.75
2024-04-10,Wednesday,Win,5202.0,5194.25,5257.5,5173.5,7.75,31.0,1.9375,21:45:00,5202.25,Above Opening High,22:15:00,5204.5,Above Opening High,1.0508796956728483,13.8125,1.0080836899667143,13.25,Crossed Below Opening Low,05:00:00,5197.0
2024-04-11,Thursday,Win,5246.5,5240.5,5248.75,5150.0,6.0,24.0,1.5,21:45:00,5247.25,Above Opening High,05:15:00,5236.0,Below Opening Low,0.02857823291259824,0.375,1.6699029126213591,21.5,Crossed Below Opening Low,04:45:00,5239.75
2024-04-14,Sunday,Win,5187.75,5171.25,5213.25,5094.0,16.5,66.0,4.125,01:00:00,5188.5,Above Opening High,02:30:00,5191.75,Above Opening High,0.4747518342684506,6.1875,0.41241068431400757,5.375,Crossed Below Opening Low,10:45:00,5170.5
2024-04-15,Monday,Win,5107.75,5100.0,5123.25,5078.75,7.75,31.0,1.9375,21:00:00,5097.25,Below Opening Low,22:30:00,5088.25,Below Opening Low,0.36426285995569774,4.625,0.1870539010583313,2.375,Crossed Above Opening High,07:00:00,5110.5
2024-04-16,Tuesday,Win,5107.0,5093.25,5120.5,5048.0,13.75,55.0,3.4375,01:45:00,5091.0,Below Opening Low,02:00:00,5083.75,Below Opening Low,0.8518225039619652,10.75,0.7082012678288431,8.9375,Crossed Above Opening High,04:30:00,5110.5
2024-04-17,Wednesday,Win,5069.0,5063.75,5095.25,5038.5,5.25,21.0,1.3125,21:45:00,5070.25,Above Opening High,22:00:00,5072.75,Above Opening High,0.49065305922182423,6.25,0.44158775329964184,5.625,Crossed Below Opening Low,05:30:00,5070.5
2024-04-18,Thursday,Win,5046.0,5027.75,5058.0,4963.5,18.25,73.0,4.5625,20:45:00,5024.25,Below Opening Low,21:00:00,5009.0,Below Opening Low,1.2239347234814144,15.1875,0.9166918505087137,11.375,Crossed Above Opening High,07:30:00,5044.5
2024-04-21,Sunday,Win,5023.75,5009.75,5076.75,5006.0,14.0,56.0,3.5,02:00:00,5027.0,Above Opening High,02:15:00,5027.25,Above Opening High,0.9799576500714039,12.4375,0.9750332397695375,12.375,Crossed Below Opening Low,20:30:00,5012.5
2024-04-22,Monday,Win,5049.0,5044.25,5112.75,5039.0,4.75,19.0,1.1875,21:30:00,5043.75,Below Opening Low,21:45:00,5042.0,Below Opening Low,0.09426473506648145,1.1875,0.05953562214725144,0.75,Crossed Above Opening High,20:45:00,5048.0
2024-04-23,Tuesday,Win,5120.0,5113.75,5128.75,5082.0,6.25,25.0,1.5625,21:15:00,5120.25,Above Opening High,22:00:00,5122.75,Above Opening High,0.1657323909334633,2.125,0.11698757007068,1.5,Crossed Below Opening Low,04:45:00,5113.5
2024-04-24,Wednesday,Win,5080.5,5071.5,5131.75,5022.25,9.0,36.0,2.25,20:45:00,5081.0,Above Opening High,01:15:00,5069.25,Below Opening Low,0.9889413942612169,12.6875,0.9358355318831202,11.75,Crossed Below Opening Low,01:00:00,5071.0
2024-04-25,Thursday,Win,5121.5,5116.75,5146.5,5104.5,4.75,19.0,1.1875,21:30:00,5124.0,Above Opening High,21:45:00,5123.0,Above Opening High,0.4371903235208394,5.625,0.45662100456621,5.875,Crossed Below Opening Low,04:45:00,5117.25
2024-04-28,Sunday,Win,5143.0,5137.25,5154.25,5118.75,5.75,23.0,1.4375,21:15:00,5143.5,Above Opening High,21:45:00,5146.0,Above Opening High,0.2085657467138769,2.6875,0.16006208468739389,2.0625,Crossed Below Opening Low,05:15:00,5138.25
2024-04-29,Monday,Win,5145.5,5141.75,5145.5,5054.25,3.75,15.0,0.9375,23:00:00,5141.5,Below Opening Low,01:15:00,5140.0,Below Opening Low,1.7262699708166394,21.8125,1.696591977049018,21.4375,Crossed Above Opening High,07:00:00,5145.0
2024-04-30,Tuesday,Win,5060.0,5052.75,5126.75,5037.75,7.25,29.0,1.8125,21:15:00,5060.5,Above Opening High,22:45:00,5061.5,Above Opening High,1.2922416735748767,16.5625,1.2727361388794072,16.3125,Crossed Below Opening Low,03:45:00,5051.0
2024-05-01,Wednesday,Win,5070.25,5060.0,5100.75,5036.25,10.25,41.0,2.5625,21:00:00,5071.25,Above Opening High,22:00:00,5073.0,Above Opening High,0.5783463216193696,7.375,0.5440376415233054,6.9375,Crossed Below Opening Low,09:45:00,5061.0
2024-05-02,Thursday,Win,5109.5,5103.25,5166.75,5099.25,6.25,25.0,1.5625,21:15:00,5110.0,Above Opening High,03:30:00,5100.25,Below Opening Low,1.0983693811390138,14.1875,0.019610727067706037,0.25,Crossed Below Opening Low,01:15:00,5103.5
2024-05-05,Sunday,Win,5163.25,5156.0,5207.75,5155.75,7.25,29.0,1.8125,04:15:00,5164.5,Above Opening High,04:30:00,5164.0,Above Opening High,0.8304930152177044,10.8125,0.8400940905381402,10.9375,Crossed Below Opening Low,20:30:00,5158.25
2024-05-06,Monday,Win,5207.25,5204.25,5226.75,5202.25,3.0,12.0,0.75,23:00:00,5207.5,Above Opening High,23:45:00,5208.25,Above Opening High,0.36829769933515094,4.8125,0.3539484383220931,4.625,Crossed Below Opening Low,20:30:00,5206.25
2024-05-07,Tuesday,Win,5216.0,5212.75,5218.0,5188.75,3.25,13.0,0.8125,22:15:00,5212.5,Below Opening Low,23:15:00,5212.0,Below Opening Low,0.45772103107684897,5.9375,0.44808479884365215,5.8125,Crossed Above Opening High,03:00:00,5215.75
2024-05-08,Wednesday,Win,5212.0,5207.5,5244.75,5195.0,4.5,18.0,1.125,00:15:00,5207.0,Below Opening Low,01:00:00,5206.5,Below Opening Low,0.23099133782483158,3.0,0.22136669874879694,2.875,Crossed Above Opening High,21:45:00,5211.5
2024-05-09,Thursday,Win,5246.0,5242.25,5264.0,5232.75,3.75,15.0,0.9375,21:45:00,5241.25,Below Opening Low,22:15:00,5241.75,Below Opening Low,0.16243848836653768,2.125,0.17199369356456928,2.25,Crossed Above Opening High,02:15:00,5246.25
2024-05-12,Sunday,Win,5244.75,5241.25,5264.0,5233.25,3.5,14.0,0.875,20:45:00,5245.0,Above Opening High,23:30:00,5248.5,Above Opening High,0.3609422492401216,4.75,0.2944528875379939,3.875,Crossed Below Opening Low,11:30:00,5244.25
2024-05-13,Monday,Win,5246.0,5244.0,5274.25,5216.75,2.0,8.0,0.5,20:45:00,5243.75,Below Opening Low,21:15:00,5242.5,Below Opening Low,0.5175636171946135,6.75,0.4936023386207888,6.4375,Crossed Above Opening High,02:00:00,5245.5
2024-05-14,Tuesday,Win,5273.5,5269.0,5337.25,5266.25,4.5,18.0,1.125,21:30:00,5273.75,Above Opening High,22:00:00,5274.0,Above Opening High,1.1897512764063891,15.875,1.1850672162630569,15.8125,Crossed Below Opening Low,20:30:00,5270.25
2024-05-15,Wednesday,Win,5340.75,5337.25,5349.0,5317.0,3.5,14.0,0.875,21:15:00,5341.0,Above Opening High,23:30:00,5342.75,Above Opening High,0.14956066554496167,2.0,0.1168442699570013,1.5625,Crossed Below Opening Low,20:30:00,5338.5
2024-05-16,Thursday,Win,5321.25,5318.5,5328.75,5305.75,2.75,11.0,0.6875,21:00:00,5321.75,Above Opening High,21:30:00,5322.75,Above Opening High,0.13136288998357964,1.75,0.11259676284306826,1.5,Crossed Below Opening Low,23:00:00,5318.5
2024-05-19,Sunday,Win,5336.5,5332.25,5348.25,5323.75,4.25,17.0,1.0625,03:00:00,5332.0,Below Opening Low,09:00:00,5329.5,Below Opening Low,0.15496595444940128,2.0625,0.10800657431321906,1.4375,Crossed Above Opening High,07:15:00,5336.0
2024-05-20,Monday,Win,5334.25,5330.25,5347.5,5322.5,4.0,16.0,1.0,03:30:00,5334.75,Above Opening High,09:00:00,5325.75,Below Opening Low,0.23842917251051893,3.1875,0.06106153123532175,0.8125,Crossed Below Opening Low,21:30:00,5332.5
2024-05-21,Tuesday,Win,5348.0,5345.75,5349.25,5306.75,2.25,9.0,0.5625,21:15:00,5345.5,Below Opening Low,02:15:00,5343.0,Below Opening Low,0.7302021010976587,9.6875,0.6830922881236162,9.0625,Crossed Above Opening High,21:45:00,5347.75
2024-05-22,Wednesday,Win,5342.0,5339.0,5368.25,5273.5,3.0,12.0,0.75,21:15:00,5342.25,Above Opening High,21:45:00,5345.25,Above Opening High,0.48432915754668654,6.5,0.42844502398360734,5.75,Crossed Below Opening Low,20:30:00,5339.0
2024-05-23,Thursday,Win,5292.0,5286.5,5329.25,5286.0,5.5,22.0,1.375,20:45:00,5292.5,Above Opening High,21:15:00,5293.5,Above Opening High,0.6895904677018342,9.1875,0.6708261012337571,8.9375,Crossed Below Opening Low,03:00:00,5287.0
2024-05-26,Sunday,Win,5318.0,5314.75,5334.75,5312.5,3.25,13.0,0.8125,21:45:00,5318.5,Above Opening High,01:00:00,5320.0,Above Opening High,0.3046065888748301,4.0625,0.2764890575940766,3.6875,Crossed Below Opening Low,22:30:00,5315.5
2024-05-27,Monday,Win,5328.25,5323.25,5339.0,5296.75,5.0,20.0,1.25,23:00:00,5329.0,Above Opening High,23:30:00,5330.0,Above Opening High,0.1873009926952613,2.5,0.16857089342573517,2.25,Crossed Below Opening Low,20:45:00,5324.5
2024-05-28,Tuesday,Loss,5321.75,5312.75,5319.0,5278.5,9.0,36.0,2.25,22:30:00,5312.0,Below Opening Low,22:45:00,5309.75,Below Opening Low,0.6346499952638059,8.375,0.5920242493132518,7.8125,Not Crossed,N/A,N/A
2024-05-29,Wednesday,Win,5267.5,5262.75,5277.0,5238.25,4.75,19.0,1.1875,22:30:00,5260.25,Below Opening Low,22:45:00,5260.25,Below Opening Low,0.4199875912757123,5.5,0.4199875912757123,5.5,Crossed Above Opening High,08:30:00,5271.5
2024-05-30,Thursday,Win,5246.0,5234.5,5307.0,5205.5,11.5,46.0,2.875,23:45:00,5246.5,Above Opening High,04:15:00,5249.25,Above Opening High,1.1400037686074995,15.125,1.0881854154889767,14.4375,Crossed Below Opening Low,20:30:00,5235.5
